"El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.",,,,,,
Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Colinas del Sur,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,10 de Mayo,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Hacienda el Cortijo,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Mesa de Lourdes,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Portal del Sur,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Ampliación Colinas del Sur,25001
25093,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Los Buitres II,25001
25094,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Monteverde Residencial,25001
25094,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Paseo de la Estrella,25001
25094,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Privadas la Estrella,25001
25094,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Bosques de las Lomas Residencial,25001
25094,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Cumbres Vista Residencial,25001
25094,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Portal de las Lomas,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Miguel Hidalgo,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Vistas de Peña,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Vistas de Peña Sur,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,María de León,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Federico Berrueto Ramón Popular,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Federico Berrueto Ramón,25001
25096,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Lomas Verdes,25001
25097,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Vicente Guerrero,25001
25097,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Las Rosas,25001
25100,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nazario S Ortiz Garza,25001
25100,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Industrial Valle de Saltillo,25001
25100,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Hacienda San Rafael,25001
25100,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Omega,25001
25100,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Purísima,25001
25107,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Asturias,25001
25107,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Portal de Asturias,25001
25107,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Rincón de Asturias,25001
25107,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle Verde Sector II,25001
25107,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo México,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Ciudad las Torres,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Las Torres,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Nuevo Atardecer,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Portales,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Evaristo Pérez Arreola,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de las Torres,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,Flora Ortega,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,El Rodeo,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle Azteca,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Colonia,La Florencia,25001
25110,Coahuila de Zaragoza,Saltillo,Saltillo,Fraccionamiento,Valle de las Torres II,25001
